battery_type,battery_id,battery_formula,working_ion,elements,nelements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,id_charge,id_discharge,energy_density,working_ion_cost_per_kWh,battery_volume_cost
insertion,mp-19419_Li,Li0-1.25FeO2,Li,"['Fe', 'O']",2,FeO2,Li5(FeO2)4,0.150733664532332,3.52658897333333,347.097327774953,1407.59193240366,1224.06960880461,4963.99818776771,0.273916410833334,0.077787116764703,mp-bliq,mp-bqyow,0.24658945521393816,10.0,2.465894552139382
insertion,mp-19511_Li,Li3.75-5FeO4,Li,"['Fe', 'O']",2,Li15(FeO4)4,Li5FeO4,0.007486662302005,3.74356298133333,216.773676405876,555.144410036392,811.505910320571,2078.21806270637,0.116783187571432,0.0,mp-brqjl,mp-bcwl,0.39048159809744926,10.0,3.9048159809744925
insertion,mp-19755_Li,Li0-0.33TiS2,Li,"['Ti', 'S']",2,TiS2,Li(TiS2)3,0.069690016607668,1.97958849333332,78.1539230674416,203.446173935817,154.712606813165,402.739704936035,0.002321645555555,0.014605898000001,mp-ckrcc,mp-bdfv,0.3841503703682209,10.0,3.8415037036822093
insertion,mp-20012_Li,Li0-2InSb,Li,"['In', 'Sb']",2,InSb,Li2InSb,12.8953636126858,-2.01610527166666,214.018055939981,87.7918835360497,-431.482930812448,-176.997679206575,0.0,1.39160348416666,mp-bdps,mp-ckkxq,2.4377886351202327,10.0,24.377886351202328
insertion,mp-20021_Li,Li0-1DySn2,Li,"['Dy', 'Sn']",2,DySn2,LiDySn2,0.191431739762044,-0.023824091666667,65.8738024666013,473.663102187068,-1.56938350839623,-11.2845931656226,0.0,0.120316506015623,mp-bdqb,mp-ckclo,0.13907311370136063,10.0,1.3907311370136064
insertion,mp-20488_Li,Li0-2CrF4,Li,"['Cr', 'F']",2,CrF4,Li2CrF4,0.123207665965239,3.83905389083333,377.826990545276,1103.03805488638,1450.49817811469,4234.6225363488,0.0061190655,0.063774047499999,mp-beia,mp-brmux,0.34253305121389904,10.0,3.4253305121389905
insertion,mp-21021_Li,Li0-1.75Mo3Se4,Li,"['Mo', 'Se']",2,Mo3Se4,Li7(Mo3Se4)4,0.111262139876422,1.6278554147619,76.1644655638912,455.649843254577,123.984737680627,741.732064577378,0.060871435000001,0.000308050714284,mp-bfcn,mp-bmipu,0.16715569354719872,10.0,1.6715569354719872
insertion,mp-21284_Li,Li1-1.15MnAs,Li,"['Mn', 'As']",2,LiMnAs,Li23(MnAs)20,0.155270582735559,-0.698312759999992,29.1654804103833,122.413411697571,-20.3666271221005,-85.4828473835466,0.131856516340997,0.195439654246487,mp-bfmq,mp-begxp,0.2382539625840852,10.0,2.382539625840852
insertion,mp-21471_Li,Li0.95-1FeAs,Li,"['Fe', 'As']",2,Li19(FeAs)20,LiFeAs,0.006759784244354,1.70285585333331,9.73130064911592,50.7137049946563,16.5710022708933,86.3581293943698,0.013307571355932,0.0,mp-beetc,mp-bftv,0.19188699879334997,10.0,1.9188699879334998
insertion,mp-2156_Li,Li0-1TiS2,Li,"['Ti', 'S']",2,TiS2,LiTiS2,0.025602959151616,1.88596696333333,225.339934632866,696.682012471125,424.983672237279,1313.91925946912,0.0,0.0,mp-dey,mp-ofv,0.32344732689966726,10.0,3.2344732689966724
